Description,Gross Mass Measure Unit Code,Net Weight Measure,Item Charge Amount,Non Preferential Country Code,Preferential Country Code,Valuation Adjustment Code,Taric Additional Code,National Additional Code,Commodity Code,Freight Payment Code,CMR,Consignee Short Name,Consignor Short Name,Sequence Numeric,Statistical Value Amount,Transaction Nature Code,Description,Gross Mass Measure,Gross Mass Measure Unit Code,Net Weight Measure,Tariff Quantity,Tariff Quantity Unit Code,Item Charge Amount,Customs Valuation Method Code,Non Preferential Country Code,Preferential Country Code,Valuation Adjustment Code,Taric Additional Code,National Additional Code,Cus Code,Invoice Number,Commodity Code,Preference,Section,VVA under-calculation,VVA over-calculation,VatValue,VATRate,Customs Value,DTF.Duty.Amount,DTF.Duty.Type,DTF.Duty.Rate,DTF.Duty.Base,DTF.Duty.Relieved,DTF.VAT.Amount,DTF.VAT.Type,DTF.VAT.Rate,DTF.VAT.Base
GARMENTS,,15.015,361.25,CN,,0,,,6109100010,,,FASHION COMP WHOLESA,FASHION COMP A/S,8,363.12,,GARMENTS,16.335,,15.015,55,,361.25,1,CN,,0,,,4000,106193774,6109100010,100,XI,209.69,0.00,,,361.25,0.00,,,,0.00,72.25,,,
GARMENTS,,1.406,60.6,CN,,0,,,6109902000,,,FASHION COMP WHOLESA,FASHION COMP A/S,9,60.91,,GARMENTS,1.59,,1.406,15,,60.6,1,CN,,0,,,4000,106193774,6109902000,100,XI,103.74,0.00,,,60.6,0.00,,,,0.00,12.12,,,
GARMENTS,,1.608,157.44,CN,,0,,,6114300000,,,FASHION COMP WHOLESA,FASHION COMP A/S,10,158.26,,GARMENTS,2.112,,1.608,24,,157.44,1,CN,,0,,,4000,106193766,6114300000,100,XI,125.62,0.00,,,157.44,0.00,,,,0.00,31.488,,,
GARMENTS,,34.848,601.67,CN,,0,,,6115950000,,,FASHION COMP WHOLESA,FASHION COMP A/S,11,604.79,,GARMENTS,38.703,,34.848,665,,601.67,1,CN,,0,,,4000,106193774,6115950000,100,XI,0.00,256.85,,,601.67,0.00,,,,0.00,120.334,,,
GARMENTS,,0.165,4.1,CN,,0,,,6115990000,,,FASHION COMP WHOLESA,FASHION COMP A/S,12,4.12,,GARMENTS,0.185,,0.165,1,,4.1,1,CN,,0,,,4000,106193768,6115990000,100,XI,0.00,263.35,,,4.1,0.00,,,,0.00,0.82,,,
GARMENTS,,1.125,41.08,CN,,0,,,6201401090,,,FASHION COMP WHOLESA,FASHION COMP A/S,13,41.29,,GARMENTS,1.46,,1.125,5,,41.08,1,CN,,0,,,4000,106193768,6201401090,100,XI,0.00,230.58,,,41.08,0.00,,,,0.00,8.216,,,
GARMENTS,,0.434,13.2,CN,,0,,,6203431900,,,FASHION COMP WHOLESA,FASHION COMP A/S,14,13.27,,GARMENTS,0.474,,0.434,1,,13.2,1,CN,,0,,,4000,106193768,6203431900,100,XI,237.74,0.00,,,13.2,0.00,,,,0.00,2.64,,,
GARMENTS,,0.973,21.31,CN,,0,,,6204339000,,,FASHION COMP WHOLESA,FASHION COMP A/S,15,21.42,,GARMENTS,1.093,,0.973,2,,21.31,1,CN,,0,,,4000,106193774,6204339000,100,XI,0.00,401.91,,,21.31,0.00,,,,0.00,4.262,,,
GARMENTS,,3.405,139.61,CN,,0,,,6204420090,,,FASHION COMP WHOLESA,FASHION COMP A/S,16,140.33,,GARMENTS,4.2,,3.405,15,,139.61,1,CN,,0,,,4000,106198164,6204420090,100,XI,0.00,389.82,,,139.61,0.00,,,,0.00,27.922,,,
GARMENTS,,2.344,131.2,CN,,0,,,6204520090,,,FASHION COMP WHOLESA,FASHION COMP A/S,17,131.88,,GARMENTS,3.144,,2.344,8,,131.2,1,CN,,0,,,4000,106193763,6204520090,100,XI,0.00,386.26,,,131.2,0.00,,,,0.00,26.24,,,
